"Country","Region","Year","Infant_deaths","Under_five_deaths","Adult_mortality","Alcohol_consumption","Hepatitis_B","Measles","BMI","Polio","Diphtheria","Incidents_HIV","GDP_per_capita","Population_mln","Thinness_ten_nineteen_years","Thinness_five_nine_years","Schooling","Economy_status_Developed","Economy_status_Developing","Life_expectancy"
"Nigeria","Africa",2003,100.8,165.9,406.792,11.33,29,64,22.5,42,29,1.15,1764,131.9,13.5,13.6,5.2,0,1,47.2
"Lesotho","Africa",2004,73,114.5,617.2135,1.78,60,56,24.3,89,90,16.29,804,2.01,9.7,9.7,5.2,0,1,43.1
"Uganda","Africa",2001,83.4,139.3,522.318,11.8,54,64,21.2,56,55,4.48,527,24.39,6.9,6.9,4,0,1,47.2
"Central African Republic","Africa",2006,104.8,158.3,514.5715,1.7,45,64,22.1,47,51,2.69,467,4.12,9.6,9.6,3.3,0,1,45.2
"Central African Republic","Africa",2008,102.5,152.8,494.9685,1.73,45,64,22.2,46,45,2.28,480,4.27,9.3,9.2,3.4,0,1,46.2
"Nigeria","Africa",2002,103.8,171.5,411.5985,11.09,29,64,22.5,40,25,1.21,1685,128.6,13.8,13.8,5.2,0,1,46.8
"Angola","Africa",2001,118.2,198.4,361.129,1.94,67,64,21.8,28,38,1.36,1847,16.95,1.7,1.7,4.4,0,1,47.1
"Central African Republic","Africa",2004,106.9,162.5,532.8745,1.6,45,64,21.9,45,51,3.09,459,3.96,9.9,9.9,3.2,0,1,44.4
"Rwanda","Africa",2001,100,167.4,432.824,9.27,91,87,21,76,77,2.9,361,8.23,7.4,7.5,2.4,0,1,49.9
"Zimbabwe","Africa",2003,50.4,91.6,703,1.96,70,64,23.4,70,68,10.27,1291,11.98,9.8,9.9,6.8,0,1,43.2
"Nigeria","Africa",2005,95,155,397.18,11.24,18,64,22.7,45,36,1.05,1948,138.87,12.9,12.9,5.2,0,1,48.3
"Lesotho","Africa",2008,77.1,113,569.1065,2.91,88,80,24.5,86,88,14.53,962,1.99,8,7.8,5.4,0,1,43.4
"Burundi","Africa",2000,94.7,154.5,355.0185,7.17,87,57,20.6,71,80,1.55,307,6.38,9,8.9,1.8,0,1,49.1
"Eswatini","Africa",2000,67.8,112.2,559.1865,6.8,83,99,25.5,87,84,21.68,2472,1.01,9.4,9.6,3.9,0,1,47.5
"Zimbabwe","Africa",2008,54.5,94.5,594.7345,2.82,75,64,23.6,75,75,7.81,850,12.38,7.8,7.8,7,0,1,46.5
"Mozambique","Africa",2002,100.3,152.6,445.308,0.66,76,64,21.7,76,76,3.5,341,18.76,4,4,2.5,0,1,49.6
"Zimbabwe","Africa",2001,51.1,93.8,703.677,1.93,76,64,23.3,76,75,11.96,1715,11.92,1.6,1.7,6.7,0,1,44
"Eswatini","Africa",2006,58.8,109,588.7775,6.26,93,99,26,88,87,18.94,3060,1.04,6.9,7.1,5.1,0,1,42.7
"Sierra Leone","Africa",2008,114.2,174.9,440.0625,3.83,77,60,22.5,75,77,1.21,516,6.13,8.7,8.7,2.9,0,1,47.5
"Central African Republic","Africa",2005,106.1,160.8,523.723,1.57,45,64,22,47,54,3.05,455,4.04,9.7,9.7,3.3,0,1,44.7
"Lesotho","Africa",2014,71.9,94.2,518.279,2.75,93,82,24.9,88,93,10.88,1120,2.04,5.8,5.6,6.1,0,1,49.9
"Central African Republic","Africa",2013,93,132.5,439.1325,1.7,23,64,22.6,23,23,1.53,365,4.45,8.5,8.5,4,0,1,49.4
"Malawi","Africa",2004,70.1,119.7,549.7965,1.25,89,64,22.1,94,89,6.97,287,12.3,7.5,7.4,3.3,0,1,46.8
"Eswatini","Africa",2004,69.1,119.7,606.731,5.76,93,99,25.8,88,86,19.93,2749,1.03,7.7,7.9,4,0,1,42.7
"Angola","Africa",2003,110.4,183.8,340.0665,2.2,67,64,22,21,40,1.43,2022,18.12,1.4,1.3,4.4,0,1,48.4
"Nigeria","Africa",2008,87.7,141.7,383.7715,10.79,41,64,22.9,60,53,0.85,2173,150.27,12,11.9,5.2,0,1,49.9
"Lesotho","Africa",2007,73.8,114.3,579.412,2.85,90,80,24.5,87,88,15.31,912,1.99,8.4,8.3,5.5,0,1,42.9
"Sierra Leone","Africa",2010,107.2,160.6,425.103,3.48,86,60,22.6,84,86,1.11,536,6.42,8.3,8.2,3.1,0,1,49.4
"Eswatini","Africa",2002,69.6,117.7,624.685,5.51,88,99,25.6,87,85,20.31,2572,1.02,8.6,8.8,3.6,0,1,44.4
"Zambia","Africa",2003,73.2,125.4,569.503,2.39,81,39,21.7,85,83,8.7,843,11.26,7.3,7.2,6.1,0,1,46.3
"Nigeria","Africa",2004,97.8,160.3,401.9865,11.33,29,64,22.6,43,33,1.1,1878,135.32,13.2,13.2,5.2,0,1,47.7
"Eswatini","Africa",2005,68.3,119.4,597.7545,5.05,95,99,25.9,88,86,19.87,2902,1.03,7.3,7.5,4.5,0,1,42.5
"Cote d'Ivoire","Africa",2000,95.6,143.3,456.1585,4.65,59,64,22.7,66,65,3.99,1848,16.45,8.1,8.1,3.3,0,1,49.6
"Burundi","Africa",2001,91.9,149.4,355.612,6.62,87,57,20.7,72,81,1.41,306,6.53,8.8,8.8,1.9,0,1,49.9
"Zambia","Africa",2006,58.4,98.5,496.876,2.73,81,39,21.9,83,81,7.23,965,12.17,7,6.9,6.4,0,1,49.8
"Zambia","Africa",2002,79.2,136.1,593.712,2.61,81,39,21.6,85,84,9.05,808,10.97,7.4,7.3,6.1,0,1,45.4
"Lesotho","Africa",2006,74.5,116.5,592.0125,2.77,91,80,24.4,88,89,16.06,874,1.99,8.8,8.7,5.4,0,1,42.6
"Lesotho","Africa",2010,70.9,96.4,548.4965,2.75,93,81,24.7,92,93,12.44,996,2,7.2,7,5.6,0,1,45.1
"Uganda","Africa",2000,87.1,146.1,537.6,11.68,52,64,21.2,55,52,4.6,517,23.65,7,7,3.9,0,1,46.2
"Sierra Leone","Africa",2000,138.1,224.9,531.3245,3.75,71,60,22,46,44,1.59,403,4.58,1.3,1.4,2.3,0,1,39.4
"Mali","Africa",2002,96.1,174.7,318.8575,0.61,78,64,21.8,65,61,0.92,641,11.62,1.5,1.5,1.4,0,1,49.5
"Lesotho","Africa",2011,69,93.9,538.191,2.38,96,82,24.7,95,96,11.51,1037,2,6.8,6.6,5.8,0,1,46.2
"Eswatini","Africa",2001,69,115.8,591.9355,6.7,86,99,25.6,87,84,20.8,2477,1.01,9,9.2,3.7,0,1,45.8
"Mozambique","Africa",2001,106.1,161,440.8905,0.65,76,64,21.7,72,73,3.5,321,18.22,4.1,4,2.4,0,1,49.3
"Chad","Africa",2000,99.7,184,406.9915,0.3,27,64,20.9,30,36,1.39,375,8.36,11.5,11.4,1.4,0,1,47.7
"Lesotho","Africa",2013,71,92.6,523.0825,2.55,93,82,24.8,90,93,11.55,1109,2.03,6.1,5.9,6,0,1,48.7
"Malawi","Africa",2001,92.9,160.5,581.009,1.3,79,64,21.8,86,90,8.8,273,11.43,7.9,7.7,3.1,0,1,45.2
"Eswatini","Africa",2003,69.8,119.2,615.708,5.62,90,99,25.7,87,85,20.22,2662,1.02,8.2,8.4,3.4,0,1,43.4
"Rwanda","Africa",2000,109.5,185.2,442.3195,8.71,91,87,20.9,90,90,3.17,345,7.93,7.6,7.7,2.3,0,1,48.6
"Lesotho","Africa",2001,70.5,108.8,605.593,2.85,79,46,24.1,78,78,17.55,739,2.04,11.1,11.1,5,0,1,46.2
"Chad","Africa",2006,90.8,163.3,401.3725,0.49,27,64,21.4,49,40,0.91,657,10.46,1.3,1.2,1.6,0,1,48.9
"Central African Republic","Africa",2012,94.5,136.2,453.1605,1.96,47,64,22.6,47,47,1.59,576,4.44,8.7,8.6,3.8,0,1,48.6
"Central African Republic","Africa",2003,107.7,164.2,542.026,1.61,45,64,21.8,44,47,3.29,442,3.88,1,1.1,3.1,0,1,44.2
"Cote d'Ivoire","Africa",2003,89.6,133.1,461.2065,4.65,63,64,22.9,68,61,2.91,1567,17.6,7.5,7.5,3.5,0,1,49.6
"Lesotho","Africa",2000,70,106.9,568.77,3.09,79,48,24,82,83,18.69,715,2.03,11.5,11.6,4.9,0,1,47.7
"Lesotho","Africa",2002,71.2,110.7,642.4155,2.93,79,50,24.1,84,84,17.08,747,2.03,1.6,1.6,5.1,0,1,44.9
"Sierra Leone","Africa",2001,135.6,219.4,519.6305,3.98,71,60,22.1,38,38,1.57,364,4.75,1.1,1.2,2.4,0,1,40.4
"Sierra Leone","Africa",2005,124.1,195.5,471.7,3.65,72,60,22.4,67,65,1.4,472,5.65,9.3,9.3,2.7,0,1,44.5
"Cote d'Ivoire","Africa",2001,93.7,140.1,462.512,4.67,59,64,22.7,70,66,3.66,1765,16.85,7.9,7.9,3.3,0,1,49.5
"Sierra Leone","Africa",2002,132.9,213.9,507.937,3.9,71,60,22.2,54,53,1.53,441,4.97,9.9,1,2.5,0,1,41.4
"Eswatini","Africa",2010,54.7,85.5,507.805,6.49,89,99,26.4,89,89,16.96,3304,1.06,5.4,5.6,5.7,0,1,46.6
"Angola","Africa",2000,121.5,204.4,371.4315,1.47,67,64,21.7,21,28,1.24,1832,16.4,1.9,1.9,4.4,0,1,46.5
"Eswatini","Africa",2008,61.1,101.9,555.8025,5.64,90,99,26.2,89,88,18.5,3179,1.05,6.1,6.3,5.4,0,1,44.2
"Chad","Africa",2007,89.2,159.6,398.4555,0.58,27,64,21.5,38,28,0.84,656,10.82,1,1,1.7,0,1,49.3
"Chad","Africa",2008,87.5,155.7,393.0275,0.64,17,64,21.5,30,19,0.77,654,11.18,9.8,9.7,1.8,0,1,49.8
"Chad","Africa",2003,95.3,173.8,410.124,0.46,27,64,21.2,36,23,1.11,465,9.37,1.9,1.8,1.4,0,1,48.1
"Mozambique","Africa",2000,112.4,170.4,436.473,0.65,76,64,21.6,69,70,3.5,295,17.71,4.2,4.1,2.2,0,1,48.9
"Central African Republic","Africa",2007,103.7,155.6,505.4205,1.69,45,64,22.1,46,48,2.47,479,4.2,9.4,9.4,3.4,0,1,45.6
"Central African Republic","Africa",2009,100.6,148.9,484.5165,1.66,42,64,22.3,45,42,2.02,514,4.34,9.1,9.1,3.5,0,1,46.7
"Cote d'Ivoire","Africa",2002,91.6,136.7,468.8655,4.56,48,64,22.8,70,64,3.2,1679,17.23,7.7,7.7,3.4,0,1,49.5
"Lesotho","Africa",2009,73.6,104.2,558.8015,2.92,91,81,24.6,89,91,13.42,948,1.99,7.6,7.4,5.9,0,1,44.1
"Central African Republic","Africa",2000,109.9,168.9,531.4845,1.68,45,64,21.5,38,37,4.38,460,3.64,1.5,1.5,2.9,0,1,44.2
"Sierra Leone","Africa",2009,110.6,167.7,432.5825,3.98,84,60,22.6,81,84,1.17,520,6.27,8.5,8.4,3,0,1,48.5
"Zimbabwe","Africa",2006,53.4,95,653.918,2.35,68,64,23.5,71,70,8.78,1091,12.16,8.6,8.6,6.8,0,1,43.9
"Lesotho","Africa",2012,70.2,92.7,527.8865,2.47,95,82,24.8,93,95,11.57,1097,2.01,6.4,6.2,5.9,0,1,47.4
"Mali","Africa",2001,98.8,181.1,323.509,0.6,78,64,21.6,56,49,0.99,641,11.27,1.8,1.7,1.3,0,1,48.8
"Zambia","Africa",2000,90.2,155.9,603.461,2.82,81,39,21.5,85,85,9.75,774,10.42,7.5,7.5,5.9,0,1,44
"Zambia","Africa",2004,67.1,115.2,545.294,2.75,81,39,21.8,84,83,8.23,879,11.55,7.2,7.1,6.2,0,1,47.4
"Lesotho","Africa",2005,74,116.1,604.613,1.94,87,68,24.3,88,89,16.19,836,2,9.3,9.2,5.3,0,1,42.7
"Nigeria","Africa",2006,92.3,150.1,392.374,11.18,27,64,22.8,46,40,0.95,2013,142.54,12.6,12.6,5.2,0,1,48.8
"Malawi","Africa",2006,61.6,104.2,508.1255,1.94,99,64,22.2,99,99,5.99,295,12.97,7.3,7.1,3.6,0,1,49.1
"Sierra Leone","Africa",2007,117.6,182,447.5425,3.67,63,60,22.5,63,64,1.32,501,5.99,8.9,8.9,2.8,0,1,46.5
"Malawi","Africa",2003,76.8,131.6,570.632,1.22,84,64,22,85,84,7.52,279,12,7.6,7.5,3.3,0,1,46.1
"Uganda","Africa",2002,79.2,131.6,507.0355,11.64,57,64,21.3,57,57,4.31,555,25.17,6.8,6.8,4.2,0,1,48.3
"Nigeria","Africa",2007,89.8,145.6,387.5675,11.04,42,64,22.8,54,42,0.88,2090,146.34,12.3,12.3,5.2,0,1,49.4
"Eswatini","Africa",2012,50.6,66,459.807,6.49,95,52,26.5,92,95,15.74,3513,1.08,4.8,4.9,6.1,0,1,49.9
"Mozambique","Africa",2003,95.3,145,436.671,0.6,76,64,21.8,67,85,3.5,353,19.33,4,3.9,2.6,0,1,49.9
"Zimbabwe","Africa",2002,50.7,92.6,719.3605,2.39,73,64,23.3,73,71,11.04,1559,11.95,1.2,1.3,6.9,0,1,43.5
"Eswatini","Africa",2011,51.5,73.4,483.806,6.89,91,92,26.4,85,91,15.78,3356,1.07,5.1,5.2,5.9,0,1,48.1
"Nigeria","Africa",2000,109.8,182.9,406.369,11.47,29,64,22.3,31,29,1.39,1451,122.28,14.3,14.4,5.2,0,1,46.3
"Angola","Africa",2004,105.7,175.1,329.306,2.41,67,64,22.2,18,40,1.45,2168,18.76,1.2,1.1,4.4,0,1,49.3
"Chad","Africa",2001,98.2,180.5,410.016,0.34,27,64,21,26,26,1.27,403,8.68,11.3,11.2,1.4,0,1,47.8
"Lesotho","Africa",2003,72.2,112.7,629.815,1.97,79,47,24.2,90,90,16.46,785,2.02,1.2,1.1,5.1,0,1,43.8
"Zimbabwe","Africa",2005,51.7,93.1,670.279,2.17,65,64,23.5,69,68,9.2,1137,12.08,9,9,6.8,0,1,43.2
"Sierra Leone","Africa",2004,127.2,202,483.779,3.81,70,60,22.3,69,65,1.41,469,5.43,9.5,9.5,2.6,0,1,43.5
"Zimbabwe","Africa",2007,54.6,95.7,637.558,2.26,72,64,23.5,73,73,8.29,1042,12.26,8.2,8.2,7,0,1,44.9
"Sierra Leone","Africa",2003,130.2,208.1,495.8585,3.87,72,60,22.2,66,73,1.49,460,5.2,9.7,9.8,2.5,0,1,42.4
"Central African Republic","Africa",2010,99,145,474.065,1.96,45,64,22.4,46,45,1.9,532,4.39,9,8.9,3.6,0,1,47.3
"Niger","Africa",2000,97,224.9,291.824,0.092,72,64,20.8,41,34,0.49,399,11.33,12.8,12.9,1.1,0,1,49.9
