"Country","Region","Year","Infant_deaths","Under_five_deaths","Adult_mortality","Alcohol_consumption","Hepatitis_B","Measles","BMI","Polio","Diphtheria","Incidents_HIV","GDP_per_capita","Population_mln","Thinness_ten_nineteen_years","Thinness_five_nine_years","Schooling","Economy_status_Developed","Economy_status_Developing","Life_expectancy"
"Nicaragua","Central America and Caribbean",2010,20.3,23.9,160.5665,3.33,98,83,26.7,99,98,0.12,1679,5.82,1.9,1.8,6,0,1,72.4
"India","Asia",2010,45.1,58.2,191.5935,2.73,38,38,21.4,76,79,0.1,1244,1234.28,27,27.8,5.4,0,1,66.7
"Lao PDR","Asia",2010,51.8,68.3,217.0295,6.1,74,65,22.2,76,74,0.17,1586,6.25,9.3,9.5,4.6,0,1,64.3
"Guatemala","Central America and Caribbean",2010,28.6,34.8,177.598,2.03,94,83,26,94,94,0.08,3606,14.26,1.3,1.3,4.9,0,1,71.5
"Peru","South America",2010,15.3,19.8,132.268,5.23,93,56,26,92,93,0.15,5178,29.03,1.1,1.1,8.4,0,1,74.4
"Yemen, Rep.","Middle East",2010,45.5,58.8,235.0695,0.06,76,95,23.3,77,76,0.03,2722,23.15,13.7,13.7,2.6,0,1,65.5
"Trinidad and Tobago","Central America and Caribbean",2010,20.1,22.5,177.125,5.79,90,82,27,91,90,0.4,18189,1.33,5.9,6.3,10.7,0,1,71.9
"Ethiopia","Africa",2010,54.3,82,266.317,0.4,62,64,20.3,69,61,0.36,453,87.64,11,1.7,2.3,0,1,61.6
"Morocco","Africa",2010,26.8,31.2,82.9485,0.47,98,73,25.4,99,99,0.05,2534,32.34,6.3,6.2,4.2,0,1,74.4
"Croatia","European Union",2010,4.7,5.5,101.45,10.71,97,98,26.7,97,97,0.02,11749,4.3,1.6,1.6,10.8,1,0,76.5
"Poland","European Union",2010,5.1,6,129.3125,10.07,98,94,26.1,96,99,0.08,10859,38.04,2.1,2.2,12.2,1,0,76.2
"Ireland","European Union",2010,3.5,4.2,68.771,11.57,95,86,27.1,94,94,0.07,45932,4.56,0.3,0.2,12.2,1,0,80.7
"China","Asia",2010,12.5,15.8,92.937,5.75,99,99,23.2,99,99,0.1,5647,1337.71,4.2,3.6,7.3,0,1,74.4
"Mauritius","Africa",2010,12.5,14.5,151.4165,3.15,99,90,25,99,99,1.01,7818,1.25,7.2,7.2,8.2,0,1,73
"Uzbekistan","Asia",2010,25.4,28.7,157.8785,1.74,99,54,26,99,99,0.14,2131,28.56,3,3.1,10.7,0,1,69.7
"Somalia","Africa",2010,96.2,157.4,326.1265,0,42,64,22.8,49,45,0.13,296,12.04,7,6.8,2.1,0,1,54
"Cyprus","European Union",2010,2.8,3.4,57.4125,11.33,96,88,26.7,99,99,0.06,26020,1.11,0.9,1,11.5,1,0,79.4
"Cabo Verde","Africa",2010,22.1,26.3,133.3605,4.93,98,94,24.2,99,99,0.26,3011,0.49,7.4,7.4,5.1,0,1,71.1
"Venezuela, RB","South America",2010,14.7,17.1,148.2105,7.4,78,83,26.6,74,78,0.4,13825,28.44,1.6,1.5,8.9,0,1,73.1
"Ukraine","Rest of Europe",2010,10.1,11.7,213.7115,7.77,48,41,26.3,57,52,0.28,2315,45.87,2.4,2.5,11.3,0,1,70.3
"Mongolia","Asia",2010,22.1,26.3,230.153,7.73,96,95,25.4,96,96,0.02,2630,2.72,2.2,2.3,9.5,0,1,67.4
"Senegal","Africa",2010,42.4,65.7,211.9,0.18,89,33,22.7,76,89,0.19,1150,12.68,1.4,1.3,2.4,0,1,64.3
"Mozambique","Africa",2010,72.5,104.9,382.0835,0.79,74,64,22.3,73,74,3.5,480,23.53,3.7,3.6,3.2,0,1,52.3
"Cameroon","Africa",2010,68.6,110.1,362.5215,5.88,84,64,24,83,84,1.87,1248,20.34,6.1,6.2,5.3,0,1,55.1
"Nigeria","Africa",2010,84.3,135.5,376.179,5.22,49,64,23,54,54,0.75,2404,158.5,11.3,11.2,5.2,0,1,50.9
"Thailand","Asia",2010,11.7,13.6,160.1755,6.19,98,91,23.8,99,99,0.23,5164,67.2,8.2,8.3,7.7,0,1,74.2
"Antigua and Barbuda","Central America and Caribbean",2010,8.3,10,137.808,7.16,98,92,26.1,99,98,0.1,13987,0.09,3.3,3.3,9.2,0,1,75.8
"Moldova","Rest of Europe",2010,14.7,17.1,197.1175,6.92,98,92,26.6,97,90,0.42,2255,2.86,2.8,3,11.1,0,1,69.6
"Tanzania","Africa",2010,47.1,71.9,316.531,6.95,91,64,22.8,94,91,2.48,808,44.35,7.1,7.1,5.1,0,1,58.6
"Belarus","Rest of Europe",2010,4.3,5.6,223.1685,14.43,96,99,26.3,99,98,0.22,5622,9.48,2,2.2,12,0,1,70.4
"Solomon Islands","Oceania",2010,22.2,26.4,169.032,1.09,87,65,25.8,84,90,0.17,2099,0.53,1.2,1.2,5.1,0,1,70.7
"Greece","European Union",2010,3.4,3.9,74.8405,8.33,95,77,27.1,99,99,0.1,21560,11.12,0.8,0.7,10.3,1,0,80.4
"Australia","Oceania",2010,4,4.8,62.169,10.52,92,88,26.9,92,92,0.05,53543,22.03,0.7,0.6,12.4,1,0,81.7
"Timor-Leste","Oceania",2010,51.4,61.5,164.1365,0.1,72,64,20.7,72,72,0.08,1186,1.09,11.5,11.5,4.4,0,1,67.2
"Guinea","Africa",2010,74.4,117.7,290.8,0.2,64,64,22.6,62,64,0.93,689,10.19,8.2,8.2,1.6,0,1,56.9
"Burkina Faso","Africa",2010,68.1,121.5,280.9365,5.44,91,32,21.8,90,91,0.31,582,15.61,9,8.6,1.4,0,1,57.1
"Bulgaria","European Union",2010,9,10.8,142.4175,9.82,95,96,26,94,94,0.03,6428,7.4,2,2,10.6,1,0,73.5
"Grenada","Central America and Caribbean",2010,13,15.1,151.4055,7.71,97,86,26.4,94,97,0.4,8058,0.11,3.8,3.8,8.3,0,1,72.9
"Malaysia","Asia",2010,6.9,8.1,127.3235,0.52,96,95,25,96,96,0.17,8248,28.21,8.2,8,9.8,0,1,74.5
"Philippines","Asia",2010,24.8,31.7,206.525,4.73,77,10,22.7,88,79,0.05,2433,93.97,1,9.7,8.9,0,1,69.8
"Malawi","Africa",2010,52.4,84.2,390.2415,1.69,93,64,22.5,86,93,4.4,359,14.54,6.8,6.7,4.3,0,1,55.6
"Uruguay","South America",2010,9.3,10.7,111.704,5.99,95,92,26.7,95,95,0.24,13433,3.36,1.5,1.5,8.4,0,1,76.8
"Gambia, The","Africa",2010,45.8,73.6,274.965,2.82,97,64,23.4,97,97,1.21,753,1.79,8.2,8.1,2.8,0,1,59.6
"Costa Rica","Central America and Caribbean",2010,9.2,10.5,92.078,3.74,89,79,26.8,93,88,0.18,10237,4.58,1.8,1.8,8.3,0,1,78.8
"Kyrgyz Republic","Asia",2010,26.1,29.5,198.813,6.02,96,65,25.8,88,96,0.16,966,5.45,3.2,3.3,10.6,0,1,69.3
"Qatar","Middle East",2010,7.8,9.1,59.613,1.07,97,98,28.5,98,97,0.05,63002,1.86,5,4.6,8.4,0,1,79.1
"Azerbaijan","Asia",2010,32.5,37.3,135.9235,0.99,80,89,26.4,85,81,0.09,5215,9.05,2.8,2.9,10.7,0,1,70.9
"Brazil","South America",2010,16.7,18.6,154.9275,7.16,96,53,25.8,99,99,0.25,8702,195.71,2.9,2.9,6.9,0,1,73.6
"Madagascar","Africa",2010,47.1,69.3,242.9055,0.96,70,64,21.1,70,70,0.14,469,21.15,7.6,7.5,6,0,1,63.4
"Afghanistan","Asia",2010,64.2,87.8,250.135,0.02,66,29,22.7,66,66,0.02,526,29.19,18.4,18.4,3.2,0,1,61
"Kuwait","Middle East",2010,8.9,10.4,68.3055,0,99,99,29,98,98,0.13,32035,2.99,3.3,3.2,6.8,0,1,74.4
"Iraq","Middle East",2010,28.7,34.9,175.9375,0.16,72,77,28,74,74,0.13,4052,29.74,5.3,5.1,6.4,0,1,68.6
"El Salvador","Central America and Caribbean",2010,16.6,19.4,195.439,2.3,89,78,27.1,89,89,0.22,3335,6.18,1.7,1.6,7.1,0,1,71.2
"Singapore","Asia",2010,2.3,2.8,58.746,1.84,96,96,23.5,96,96,0.11,48753,5.08,2.1,2.1,11.2,0,1,81.5
"Burundi","Africa",2010,59.4,91,319.9625,4.61,96,56,21.3,94,96,0.49,313,8.68,7.7,7.7,2.6,0,1,57.2
"Armenia","Rest of Europe",2010,16.3,18.3,136.1865,4.23,94,97,26,96,94,0.08,2959,2.88,2,2.1,11.1,0,1,73.3
"Sierra Leone","Africa",2010,107.2,160.6,425.103,3.48,86,60,22.6,84,86,1.11,536,6.42,8.3,8.2,3.1,0,1,49.4
"Kazakhstan","Asia",2010,18.2,20.4,236.9465,3.94,99,99,26,98,99,0.11,8979,16.32,2.3,2.5,11.4,0,1,68.5
"Bosnia and Herzegovina","Rest of Europe",2010,6.3,7.2,102.9815,4.57,89,91,25.4,90,89,0.08,4096,3.71,2.6,2.6,7.1,0,1,76
"Zambia","Africa",2010,51.2,79,382.8695,2.79,83,39,22.2,80,83,5.74,1215,13.61,6.7,6.5,6.6,0,1,55.7
"Liberia","Africa",2010,71.8,99.8,267.442,3.65,47,64,23.8,71,70,3.5,649,3.89,7.4,7.2,4.1,0,1,59.6
"France","European Union",2010,3.1,4.2,84.668,12.3,65,61,25.1,99,99,0.1,35640,65.03,0.6,0.6,10.9,1,0,81.7
"Ghana","Africa",2010,47,69.1,259.173,1.6,94,55,23.6,94,94,1,1419,24.78,7.1,7,6.7,0,1,61
"Lebanon","Middle East",2010,8.7,10.2,67.7015,1.37,81,73,27.1,77,81,0.03,9115,4.95,4.7,4.7,7.9,0,1,78.4
"Latvia","European Union",2010,6.5,7.8,180.8715,9.83,91,93,26.3,92,92,0.22,10964,2.1,2.2,2.3,12.5,1,0,73.5
"Bolivia","South America",2010,33,41.6,200.5385,3.37,91,83,25.8,90,91,0.17,2514,10.05,1.2,1.1,7.8,0,1,68
"Canada","North America",2010,5,5.7,69.0295,8.4,56,85,26.8,90,89,0.1,41155,34,0.5,0.4,12.6,1,0,81.2
"St. Vincent and the Grenadines","Central America and Caribbean",2010,17.8,19.8,161.7965,7.19,99,83,26.6,99,99,0.4,6783,0.11,3.5,3.5,8.3,0,1,71.8
"South Africa","Africa",2010,34.4,52,449.3985,7.07,71,55,26.9,72,72,9.52,6085,51.22,7.3,8.9,10,0,1,57.7
"Panama","Central America and Caribbean",2010,17,19.9,121.6565,6.1,94,73,26.5,95,94,0.4,10232,3.64,2,1.9,9.3,0,1,76.8
"Iran, Islamic Rep.","Middle East",2010,16.5,19.3,104.022,0.03,99,65,25.8,99,99,0.08,5496,73.76,7.8,8,9,0,1,73.9
"Lesotho","Africa",2010,70.9,96.4,548.4965,2.75,93,81,24.7,92,93,12.44,996,2,7.2,7,5.6,0,1,45.1
"Czechia","European Union",2010,2.7,3.4,97.8545,12.68,99,98,26.8,99,99,0.08,16506,10.47,1.9,2,12.4,1,0,77.4
"Turkmenistan","Asia",2010,37.2,43.1,200.751,2.9,96,99,25.8,96,96,0.08,4266,5.09,3.2,3.3,9.9,0,1,66.7
"Djibouti","Africa",2010,62.5,76.6,272.2445,0.48,88,82,23.9,88,88,0.43,1343,0.84,5.6,5.6,4,0,1,60.1
"Malta","European Union",2010,5.8,6.7,55.7385,6.99,75,85,27.1,76,76,0.08,20558,0.41,0.8,0.7,10.3,1,0,81.4
"Russian Federation","Rest of Europe",2010,8.3,10.4,250.947,10.82,97,98,26.1,98,97,0.08,8755,142.85,2.3,2.5,11.5,0,1,68.8
"North Macedonia","Rest of Europe",2010,9.2,10.4,106.0775,3.53,90,97,26.3,95,95,0.08,4340,2.06,2.3,2.3,9.1,0,1,75
"Myanmar","Asia",2010,48.8,63.7,208.6165,0.97,92,75,22.1,90,90,0.34,903,50.6,13.1,13.3,4.1,0,1,63.5
"Tonga","Oceania",2010,11.3,13.2,142.208,1.24,82,98,31.8,99,82,0.17,3769,0.1,0.1,0.1,10.7,0,1,70.1
"Sri Lanka","Asia",2010,9.8,11.4,120.153,2.31,99,99,22.5,99,99,0.01,2950,20.26,15.3,15.3,10.8,0,1,75.4
"Sao Tome and Principe","Central America and Caribbean",2010,27.6,36.1,197.987,5,98,71,24.4,98,98,0.31,1402,0.18,6.1,6,4.9,0,1,67.4
"Egypt, Arab Rep.","Africa",2010,24,28.7,160.261,0.21,97,64,28.8,97,97,0.13,3485,82.76,3,2.9,6.5,0,1,70.3
"Mauritania","Africa",2010,61.2,95.6,212,0,64,64,24.6,52,64,0.19,1417,3.49,8.7,8.5,3.8,0,1,62.5
"Lithuania","European Union",2010,4.9,6,191.1515,13.22,94,95,26.3,95,95,0.08,11107,3.1,2.8,2.8,11.6,1,0,73.3
"Georgia","Rest of Europe",2010,12.7,14.2,170.768,7.72,95,84,26.8,88,92,0.12,3101,3.79,2.6,2.8,12.2,0,1,71.5
"Jordan","Middle East",2010,17.2,20.1,115.693,0.46,98,95,28.5,98,98,0.13,4644,7.26,3.8,3.8,9.8,0,1,73.4
"Kenya","Africa",2010,39.3,57.4,281.6775,1.52,90,28,22.8,90,90,2.04,1326,42.03,8.2,8,6.1,0,1,61
"Barbados","Central America and Caribbean",2010,13.8,15,106.695,8.66,86,96,27.3,90,86,0.38,16784,0.28,3.8,3.8,9.4,0,1,78.4
"Eritrea","Africa",2010,39,55.1,289.377,1.13,95,88,20.5,95,90,0.25,654,3.17,8.9,8.8,3.9,0,1,62.2
"Indonesia","Asia",2010,27.9,33.8,184.039,0.08,83,74,22.5,82,81,0.21,2720,241.83,1.6,1.5,7.4,0,1,69.2
"Mali","Africa",2010,76.7,130.3,285.833,0.6,72,64,22.6,77,73,0.52,732,15.05,8.8,8.5,2,0,1,55.3
"Ecuador","South America",2010,16.3,19,133.788,3.97,90,91,26.5,88,91,0.16,5324,15.01,1.3,1.2,7.9,0,1,75.1
"Slovak Republic","European Union",2010,5.8,7,121.948,10.16,99,97,26,99,99,0.01,14526,5.39,1.3,1.3,11.6,1,0,75.1
"Saudi Arabia","Middle East",2010,10.5,12.3,94.533,0,98,98,28.1,98,98,0.13,18568,27.42,7.3,7.4,8.9,0,1,73.9
"Suriname","South America",2010,20.6,23.1,179.6485,5.27,86,16,26.1,94,96,0.66,8942,0.53,3.5,3.4,7.7,0,1,70.5
"Estonia","European Union",2010,3.6,4.6,135.396,14.97,94,95,26.1,94,94,0.08,14586,1.33,1.9,2,12.5,1,0,75.4
"Dominican Republic","Central America and Caribbean",2010,28.9,35.1,169.4285,5.54,83,83,25.9,85,88,0.53,5772,9.7,3.3,3.3,7.3,0,1,72
"Cambodia","Asia",2010,37.3,43.8,194.613,2.16,89,48,21.6,90,89,0.16,892,14.31,11,11.3,4.4,0,1,66.6
"Libya","Africa",2010,14.2,16.6,135.3795,0,98,97,27.6,98,98,0.09,13539,6.2,5.6,5.4,7.3,0,1,72
"Netherlands","European Union",2010,3.7,4.4,64.5455,9.34,88,92,25.5,97,97,0.06,44391,16.62,1,0.9,12,1,0,80.7
"Eswatini","Africa",2010,54.7,85.5,507.805,6.49,89,99,26.4,89,89,16.96,3304,1.06,5.4,5.6,5.7,0,1,46.6
"Nepal","Asia",2010,36.6,45.9,177.189,0.23,82,65,21.8,83,82,0.17,730,27.01,16.7,17.2,3.3,0,1,67.6
"Botswana","Africa",2010,39.5,51.4,361.955,5.7,95,83,24.1,96,95,7.85,5642,1.99,8,7.8,8.9,0,1,60.2
"Japan","Asia",2010,2.4,3.2,62.1335,8.28,83,97,22.7,98,97,0.17,32942,128.07,1.9,1.6,11.5,1,0,82.8
"Fiji","Oceania",2010,20,23.6,196.8,2.42,99,94,27.2,99,99,0.09,4524,0.86,4,3.7,9.6,0,1,66.7
"Romania","European Union",2010,10.5,12.4,143.7705,10.01,98,93,26,94,94,0.04,7626,20.25,3,3.2,10.7,1,0,73.5
"United States","North America",2010,6.2,7.3,104.5215,8.56,92,86,28.5,93,95,0.13,52963,309.33,0.7,0.6,13.2,1,0,78.5
"Mexico","North America",2010,16.4,19.2,117.679,4.05,93,91,27.5,95,95,0.16,8879,114.09,1.6,1.6,8,0,1,75.1
"Samoa","Oceania",2010,16.6,19.3,129.0575,2.96,57,30,31.5,74,62,0.17,4083,0.19,0.2,0.2,10,0,1,71.7
"Seychelles","Africa",2010,12.1,14.1,155.754,5.54,99,98,26.2,99,99,3.5,12336,0.09,5.8,6.2,8.1,0,1,73.2
"Luxembourg","European Union",2010,2.3,2.8,74.016,11.84,94,86,26.1,96,99,0.1,106544,0.51,0.9,0.9,11.8,1,0,80.6
"Iceland","Rest of Europe",2010,2.2,2.7,53.441,6.79,88,92,26,96,96,0.05,48194,0.32,0.9,0.9,10.6,1,0,81.9
"Hungary","European Union",2010,5.1,6,156.927,10.7,88,99,26.8,99,99,0.08,11314,10,1.8,1.8,11.9,1,0,74.2
"Pakistan","Asia",2010,70.1,87.1,169.1665,0.04,82,34,23.4,52,82,0.13,1239,179.42,2.2,2.7,4.7,0,1,65.3
"Denmark","European Union",2010,3.5,4.1,83.927,10.27,88,85,25.3,90,90,0.04,51173,5.55,1.1,0.9,12.7,1,0,79.1
"Colombia","South America",2010,15.7,18.3,147.6795,4.22,88,74,25.7,88,88,0.21,5163,45.22,2.2,2,7.4,0,1,75.4
"Cote d'Ivoire","Africa",2010,74.7,106.3,420.1715,1.12,85,64,23.5,81,85,1.24,1687,20.53,6.3,6.2,4.2,0,1,53
"Vanuatu","Oceania",2010,24.3,29.1,144.4315,1.36,62,65,25.9,74,65,0.17,2856,0.24,1.5,1.4,6.7,0,1,69.1
"Portugal","European Union",2010,3.1,3.8,86.146,11.26,97,95,25.8,97,98,0.16,19670,10.57,0.7,0.5,8.1,1,0,79
"Niger","Africa",2010,61.9,121.9,267.262,0.11,70,64,21.5,75,70,0.08,443,16.46,1.7,1.6,1.4,0,1,57.3
"Maldives","Asia",2010,11.9,13.9,76.243,1.58,97,96,24.6,97,96,0.17,8522,0.37,14,14.1,4.9,0,1,75.9
"Albania","Rest of Europe",2010,11.8,13.3,80.9365,4.88,99,98,26.1,99,99,0.03,3577,2.91,1.4,1.5,9.3,0,1,76.6
"United Kingdom","Rest of Europe",2010,4.4,5.2,74.2785,10.01,88,86,27,94,94,0.08,42488,62.77,0.8,0.5,13.2,1,0,80.4
"Argentina","South America",2010,12.9,14.5,124.1055,8.15,94,94,27.1,95,94,0.14,13551,40.79,1,0.9,9.8,0,1,75.3
"Micronesia, Fed. Sts.","Oceania",2010,27.4,33.1,171.007,1.75,88,65,29.3,85,85,0.17,3085,0.1,0.2,0.2,7.2,0,1,66.5
"Bangladesh","Asia",2010,38.9,49.1,141.3945,0,94,65,21.1,94,94,0.01,973,147.58,18.9,19.4,4.9,0,1,69.9
"Equatorial Guinea","Africa",2010,79.1,111.2,329.7845,8.96,46,64,23.5,61,44,4.42,13841,0.94,9,9,5.5,0,1,55.6
"Montenegro","Rest of Europe",2010,5.7,6.7,114.563,9.94,90,97,26.1,93,94,0.03,5982,0.62,2,2,11.1,0,1,76
"Syrian Arab Republic","Middle East",2010,16.2,18.9,159.176,0.77,84,82,27.7,83,80,0.13,1701,21.36,6.4,6.1,6.3,0,1,72.1
"Finland","European Union",2010,2.5,3,87.05,9.72,88,92,26,99,99,0.08,43564,5.36,0.9,0.8,12.3,1,0,79.9
"Cuba","Central America and Caribbean",2010,5.1,6.4,94.886,4.28,96,98,25.2,99,96,0.15,6759,11.23,3.4,3.2,11,0,1,78.3
"Spain","European Union",2010,3.1,3.8,64.95,8.94,97,92,26.2,97,97,0.09,25703,46.58,0.6,0.5,9.4,1,0,81.6
"Belgium","European Union",2010,3.6,4.4,80.8845,10.27,97,83,25.9,98,98,0.08,39778,10.9,0.9,0.9,11.1,1,0,80.2
"Vietnam","Asia",2010,18.3,22.9,131.235,2.26,88,65,21,94,93,0.17,2016,87.97,14.5,15.4,7.5,0,1,74.8
"Bahrain","Middle East",2010,7.3,8.5,71.212,1.96,99,98,25,99,99,0.05,20982,1.24,6,5.9,8.4,0,1,76.1
"Papua New Guinea","Oceania",2010,44.9,57.9,234.9045,0.73,56,65,25,61,67,0.37,2235,7.31,1.4,1.3,4,0,1,62
"Bahamas, The","Central America and Caribbean",2010,13.3,15.6,167.804,9.21,98,83,27.5,97,99,0.49,32248,0.35,2.5,2.5,10.9,0,1,72.1
"St. Lucia","Central America and Caribbean",2010,17.3,19.7,145.0685,10.33,97,83,28.7,97,97,0.4,10151,0.17,4.3,4.3,8.4,0,1,74.9
"Chad","Africa",2010,84.1,147.7,382.1715,0.55,39,64,21.6,43,39,0.64,724,11.95,9.4,9.3,1.9,0,1,50.9
"Congo, Rep.","Africa",2010,43,62,308.065,1.75,74,64,22.8,72,74,2.02,2423,4.27,8.1,7.7,6.1,0,1,60.1
"New Zealand","Oceania",2010,5.1,6.1,69.92,9.62,90,86,27.6,93,93,0.04,35394,4.35,0.3,0.3,12,1,0,80.7
"Jamaica","Central America and Caribbean",2010,15.4,18,139.9575,2.94,94,56,26.9,94,94,0.58,4889,2.81,1.8,1.7,8.9,0,1,74
"Kiribati","Oceania",2010,49.3,64.4,207.2785,0.49,91,21,29.6,95,91,0.17,1366,0.1,0.1,0.1,7.9,0,1,65.8
"Benin","Africa",2010,69.6,109,255.2535,1.35,76,83,23.1,77,76,0.5,989,9.2,7.8,7.6,2.8,0,1,59.3
"Israel","Middle East",2010,3.7,4.6,60.016,2.78,97,93,26.9,95,95,0.08,32505,7.62,1.2,1.1,12.6,1,0,81.6
"Angola","Africa",2010,75.9,120.4,270.221,7.58,77,64,22.8,56,77,1.33,2994,23.36,9.1,9,4.7,0,1,55.4
"Rwanda","Africa",2010,44,63.8,246.635,7.13,97,87,21.7,93,97,1.04,599,10.04,6.5,6.3,3.8,0,1,63.4
"Oman","Middle East",2010,10.1,11.7,98.615,0.51,99,99,25.9,99,99,0.05,20640,3.04,6.9,6.8,7.9,0,1,75.7
"Comoros","Africa",2010,62.2,84.6,243.253,0.13,74,64,23.8,82,74,0.02,1208,0.69,7.1,6.9,4.2,0,1,61.9
"Italy","European Union",2010,3.4,4,56.6155,6.95,96,84,25.7,96,96,0.08,32058,59.28,0.5,0.5,9.7,1,0,82
"Paraguay","South America",2010,22,26.2,151.414,6.27,89,77,26,89,89,0.15,4767,6.25,2.1,2,7.7,0,1,72.7
"Turkiye","Middle East",2010,15.5,18.1,116.1485,1.42,96,65,27.5,97,97,0.08,8492,72.33,4.9,4.7,6.7,0,1,74.5
"Uganda","Africa",2010,49.5,76.3,355.2225,8.55,80,64,22,79,80,3.12,768,32.43,6,6,5.7,0,1,57.1
"Algeria","Africa",2010,23.6,27.4,104.1335,0.35,95,95,25.1,95,95,0.02,3918,35.98,5.9,5.8,7.1,0,1,74.9
"Chile","South America",2010,7.4,8.7,95.6955,7.55,92,84,27.4,92,92,0.18,11733,17.06,0.8,0.9,9.8,0,1,78.8
"Zimbabwe","Africa",2010,52.1,86.4,509.088,3.38,90,64,23.6,89,89,6.73,1110,12.7,7.1,7,7.3,0,1,50.6
"Togo","Africa",2010,58.3,89,300.397,1.26,83,64,23.1,83,83,1.19,483,6.42,7.3,7.2,4.3,0,1,57.5
"Austria","European Union",2010,3.6,4.3,74.502,12.1,86,69,25.4,86,86,0.08,43335,8.36,1.7,1.9,11.8,1,0,80.6
"Congo, Dem. Rep.","Africa",2010,83.5,113.8,282.542,4.02,60,64,21.6,76,60,0.53,404,64.56,1.4,1.2,5.4,0,1,56.9
"Guyana","South America",2010,30.6,37.4,216.6485,5.56,95,82,25.8,95,95,0.65,4847,0.75,5.6,5.3,8.1,0,1,68.1
"Gabon","Africa",2010,41.6,61.7,276.4095,8.36,67,64,24.7,68,67,1.9,6864,1.62,6.5,6.4,7.6,0,1,61.4
"Central African Republic","Africa",2010,99,145,474.065,1.96,45,64,22.4,46,45,1.9,532,4.39,9,8.9,3.6,0,1,47.3
