"Country","Region","Infant_deaths","Under_five_deaths","Adult_mortality","Alcohol_consumption","BMI","Incidents_HIV","Population_mln","Thinness_ten_nineteen_years","Thinness_five_nine_years","Schooling","Life_expectancy"
"Antigua and Barbuda","Central America and Caribbean",11,13.5,148.5575,6.72,25.5,0.1,0.08,3.5,3.4,9.1,74.8
"Nepal","Asia",41.9,53.4,191.5375,0.2,21.4,0.17,26.38,17.2,17.8,3,66.3
"Lithuania","European Union",7.3,9,222.069,12.42,26.2,0.06,3.32,3,3.1,11.8,71.3
"Vanuatu","Oceania",23.5,28.1,168.7145,0.88,25.6,0.17,0.2,1.6,1.6,6.5,68
"Afghanistan","Asia",90.5,129.2,310.8305,0.02,21.7,0.02,20.78,2.3,2.5,2.2,55.8
"Kuwait","Middle East",8.5,10,64.969,0,29.1,0.13,3.17,3.3,3.2,7,74.6
"Kenya","Africa",38.5,55.5,260.375,1.47,22.9,1.8,43.18,8.1,7.9,6.2,61.9
"Germany","European Union",4,4.9,86.3185,11.83,26,0.08,82.52,1.1,1.1,12.9,78.7
"Argentina","South America",10.8,12.1,118.5375,7.93,27.5,0.13,42.67,1,0.9,9.8,75.9
"Panama","Central America and Caribbean",18,21.1,124.016,6,26.3,0.4,3.52,2,2,9.2,76.4
"Oman","Middle East",9.6,11.2,89.1875,0.45,26.3,0.05,4.27,7.1,6.9,9.5,76.9
"France","European Union",3.1,4.1,74.8905,12.07,25,0.1,66.31,0.6,0.6,11.4,82.7
"Bosnia and Herzegovina","Rest of Europe",6,6.9,101.667,4.71,25.4,0.08,3.66,2.6,2.5,7.2,76.2
"Mauritania","Africa",68.6,111.5,227.5,0.012,23.9,0.45,2.78,1.5,1.3,3.1,60.9
"Somalia","Africa",101.1,166.5,331.401,0,22.7,0.13,11.4,7.2,7,2.1,53.3
"Azerbaijan","Asia",30.5,34.9,134.006,0.6,26.5,0.08,9.17,2.8,2.9,10.7,71.2
"Maldives","Asia",15.1,17.6,79.101,1.51,24.1,0.17,0.34,14.3,14.4,3.9,74.6
"Armenia","Rest of Europe",14.7,16.4,129.837,3.89,26.1,0.08,2.88,2,2.1,11.3,73.8
"Ghana","Africa",48.8,72.3,261.2595,1.26,23.5,1.06,24.17,7.3,7.2,6.7,60.6
"Somalia","Africa",104,172,337.337,0.0001,22.5,0.13,10.76,7.4,7.2,2.1,52.7
"Switzerland","Rest of Europe",3.8,4.3,49.998,9.62,25.1,0.05,8.19,0.4,0.3,13.4,83.2
"Argentina","South America",14.8,16.5,131.475,7.6,26.6,0.15,38.89,1.1,1,9.1,74.5
"Guinea-Bissau","Africa",72.6,114.5,287.62,3.06,23,2.41,1.52,8,7.9,2.6,54.6
"Solomon Islands","Oceania",25.6,30.7,228.169,0.71,24.9,0.17,0.41,1.4,1.4,4.6,67.4
"Congo, Dem. Rep.","Africa",106.5,159.3,344.252,2.05,20.7,1.07,47.11,12.4,12.3,3.3,50
"Namibia","Africa",36.8,49.1,412.4735,1.4,23.8,5.85,2.12,1.4,1.4,6.2,56.7
"Russian Federation","Rest of Europe",12,14.9,317.967,11.5,25.9,0.08,144.07,2.5,2.8,11.4,65.5
"Japan","Asia",2.9,4,70.306,7.82,22.5,0.17,127.72,1.7,1.4,11,81.8
"Mauritania","Africa",67.8,109.7,223.7,0.014,24.1,0.4,2.94,1,9.8,3.3,61.2
"Eswatini","Africa",59.3,103.8,579.801,6.34,26.1,18.67,1.04,6.5,6.7,5.3,43.3
"Nigeria","Africa",83,133.1,372.383,4.99,23,0.73,162.81,11,1.9,5.5,51.3
"United Arab Emirates","Middle East",9.1,10.6,92.432,1.6,27.3,0.13,3.48,5.3,5,8.6,74.8
"Burundi","Africa",78.4,124.9,346.6695,6.07,21,0.83,7.36,8.2,8.3,2.3,53.4
"Tajikistan","Asia",44.1,51.9,155.062,0.56,24.7,0.07,6.92,3.8,3.9,10.5,66.8
"Honduras","Central America and Caribbean",30.3,37,171.706,2.47,24.8,0.53,6.57,2.8,2.7,4.3,70.7
"Colombia","South America",16.7,19.5,151.1495,4.35,25.5,0.19,44.25,2.3,2,7.3,75
"Gambia, The","Africa",47.1,76.8,277.4475,3.05,23.3,1.29,1.74,8.4,8.3,2.7,59.3
"Madagascar","Africa",41.3,59,218.4575,0.86,21.3,0.24,24.23,7.1,7.1,6.1,65.5
"Iceland","Rest of Europe",2.8,3.5,58.787,6.52,25.7,0.03,0.29,1,0.9,9.8,81
"Morocco","Africa",40.6,48,140.5375,0.46,24.8,0.06,29.45,6.6,6.5,3.6,69.8
"Pakistan","Asia",68.6,85,166.204,0.04,23.5,0.13,183.34,2,2.4,4.8,65.6
"Bolivia","South America",34.8,44.1,204.4305,3.64,25.7,0.18,9.88,1.2,1.1,7.9,67.5
"Cambodia","Asia",49.3,59.7,214.084,1.18,21.2,0.3,13.48,11.4,11.6,3.6,63.9
"Malaysia","Asia",7,8.1,129.376,0.45,24.6,0.2,26.2,8.8,8.6,8.2,73.7
"Romania","European Union",14.2,16.6,159.0955,9.89,25.5,0.04,21.19,3.2,3.7,10.3,72.2
"Dominican Republic","Central America and Caribbean",29.1,35.5,173.0485,5.91,25.7,0.59,9.46,3.4,3.3,7.2,71.6
"Norway","Rest of Europe",2.2,2.7,53.897,5.97,26.6,0.04,5.19,0.8,0.7,12.5,82.3
"Italy","European Union",3.8,4.5,64.2915,8.65,25.6,0.09,57.97,0.5,0.5,9.2,80.8
"Vietnam","Asia",17.4,21.8,124.547,2.98,21.7,0.12,92.68,14.2,14.5,8,75.1
"Albania","Rest of Europe",15.3,17.1,82.6975,5.46,25.8,0.03,2.97,1.6,1.7,9.2,75.6
"Oman","Middle East",9.7,11.3,92.6785,0.44,26.1,0.05,3.76,7,6.8,8.9,76.4
"Czechia","European Union",4.3,5.2,121.6575,13.64,26.5,0.08,10.22,2.2,2.3,10.9,75.2
"Tonga","Oceania",13.8,16,155.0705,1.5,31.4,0.17,0.1,0.1,0.1,9.1,69.8
"Congo, Rep.","Africa",70.7,111.1,420.18,0.9,22.1,2.41,3.22,9.4,9,5.6,52.5
"Slovenia","European Union",2.6,3.2,86.192,10.33,26.1,0.02,2.05,1.6,1.6,12.1,79.4
"Gabon","Africa",52.3,81.4,321.9725,9.27,23.8,3.6,1.26,7.8,7.7,6.3,58
"Zambia","Africa",46,68.3,309.5495,4.22,22.4,4.77,15.4,6.3,6.2,6.9,60.8
"Eswatini","Africa",45.2,57.2,434.821,7.49,26.8,14.3,1.1,4,4.1,6.5,55.4
"Togo","Africa",75.7,119.9,331.9545,1.08,22,2.97,4.92,9.4,9.3,4,53.5
"Dominican Republic","Central America and Caribbean",28.8,35,163.0145,5.23,26.3,0.4,10.17,3.3,3.2,7.8,73
"Egypt, Arab Rep.","Africa",35.2,43.9,174.899,0.13,27.8,0.13,70.15,3.5,3.4,4.9,68.8
"Papua New Guinea","Oceania",41.2,52.4,227.218,1.35,25.4,0.4,7.95,1.3,1.3,4.3,63.2
"Ireland","European Union",6,7.1,94.6415,13.84,26.3,0.04,3.81,0.3,0.3,10.8,76.5
"Bhutan","Asia",34.1,42.4,227.3425,0.23,23.3,0.16,0.69,16.6,17.3,2.3,68.4
"Comoros","Africa",72.1,100.2,270.665,0.1,22.9,0.02,0.56,7.8,7.8,3,59.5
"Chile","South America",6.9,8.1,90.433,7.92,27.8,0.19,17.76,0.8,0.8,10.1,79.5
"Syrian Arab Republic","Middle East",16.5,19.3,115.127,0.75,27.4,0.13,19.06,6.4,6.3,6.2,74.4
"Cambodia","Asia",40.2,47.5,198.62,1.42,21.5,0.19,14.09,11.1,11.4,3.7,66
"Serbia","Rest of Europe",8.4,9.7,145.094,9.17,25.5,0.01,7.46,2.6,2.6,10,72.7
"Belgium","European Union",4.4,5.4,95.81,11.29,25.6,0.08,10.33,0.8,0.8,10.3,78.1
"Belize","Central America and Caribbean",18.2,21.3,190.602,6.07,27.8,1.48,0.28,3.6,3.5,10.3,69.7
"Costa Rica","Central America and Caribbean",11.1,13.1,98.9985,4.24,25.8,0.13,3.96,2.4,2.3,8,77.5
"Romania","European Union",13,15.2,155.9065,11.06,25.6,0.04,20.88,3.2,3.6,10.5,72.6
"Cuba","Central America and Caribbean",5.4,6.7,96.542,4.25,25.1,0.15,11.24,3.4,3.2,10.6,78.2
"Honduras","Central America and Caribbean",17.1,20,147.875,2.42,26.5,0.06,8.96,2.1,2.1,6.2,74.3
"Trinidad and Tobago","Central America and Caribbean",21.7,24.4,184.093,6.03,26.7,0.4,1.31,6.1,6.5,10.5,71.2
"Botswana","Africa",42.1,72.7,528.2495,4.91,23.9,13.43,1.77,1.5,1.4,8.1,51.2
"St. Vincent and the Grenadines","Central America and Caribbean",18.9,21.5,173.295,6.37,26,0.4,0.11,3.7,3.7,7.9,71.3
"Bolivia","South America",47.8,63.3,227.5185,2.32,25.1,0.2,8.91,1.4,1.3,7.1,64.2
"Paraguay","South America",26.8,32.3,166.295,4.81,25.1,0.18,5.53,2.4,2.3,6.5,71
"Bahamas, The","Central America and Caribbean",12.2,14.3,160.15,9.22,27.8,0.34,0.37,2.5,2.5,11.1,72.8
"Costa Rica","Central America and Caribbean",9.9,11.5,96.3765,4.08,26.2,0.15,4.23,2.1,2,7.9,78
"Malta","European Union",6.6,7.5,62.98,5.99,26.9,0.08,0.39,0.7,0.7,8.2,78.8
"Malawi","Africa",100.5,174.6,570.551,1.36,21.7,9.54,11.15,8,7.9,3,45.1
"Finland","European Union",3,3.6,94.799,10.15,25.9,0.08,5.27,0.9,0.8,12,79.2
"Montenegro","Rest of Europe",7.7,8.9,126.1335,9.68,25.8,0.03,0.62,2.1,2.2,10.8,74.3
"Egypt, Arab Rep.","Africa",30.6,37.5,171.3545,0.14,28.1,0.13,74.17,3.3,3.2,5.4,69.3
"United Arab Emirates","Middle East",7.4,8.7,74.296,1.69,28,0.13,8.55,5.1,4.9,9.9,76.3
"Iceland","Rest of Europe",2.5,3.1,64.745,7.2,25.9,0.03,0.3,0.9,0.9,10.2,81.2
"Malaysia","Asia",6.8,8,124.668,0.55,25.4,0.15,29.47,7.8,7.6,10.1,75.1
"Antigua and Barbuda","Central America and Caribbean",11.9,14.6,152.267,6.67,25.3,0.1,0.08,3.6,3.5,9,74.4
"Central African Republic","Africa",108.5,165.8,551.1775,1.6,21.7,3.64,3.8,1.2,1.2,3,44.1
"Timor-Leste","Oceania",45.9,54.2,154.7555,0.48,21,0.09,1.15,11.1,11.2,4.5,68
"Serbia","Rest of Europe",6.6,7.6,127.7695,8.87,25.8,0.02,7.29,2.2,2.3,10.4,74.3
"Hungary","European Union",8.2,9.6,185.7405,13.18,26,0.08,10.19,2.2,2.2,10.3,72.2
"Malaysia","Asia",7,8.2,129.6545,0.49,24.5,0.21,25.69,9,8.8,7.6,73.6
"Botswana","Africa",39.6,49.7,248.595,6.14,24.3,5.81,2.12,6.4,6.1,9.2,67.3
"Chad","Africa",92.4,166.9,404.29,0.46,21.3,0.96,10.1,1.5,1.4,1.5,48.5
"Malawi","Africa",84.6,145.5,591.4675,1.25,21.9,8.06,11.71,7.7,7.6,3.2,45.5
"Sierra Leone","Africa",100.7,147.3,410.143,3.19,22.6,0.94,6.71,7.9,7.8,3.2,51
"Mali","Africa",88.1,156.4,302.4025,0.55,22.1,0.76,12.78,9.9,9.7,1.7,52.1
"Bangladesh","Asia",44.8,57.8,147.641,0.004,20.8,0.01,142.66,19.5,2.1,4.7,68.6
"Latvia","European Union",4.3,5,160.237,10.8,26.6,0.29,1.98,2.2,2.1,12.8,74.5
"Angola","Africa",114.5,191.5,350.8275,2.08,21.9,1.39,17.52,1.5,1.5,4.4,47.7
"Jamaica","Central America and Caribbean",17.6,20.7,162.465,3.43,25.9,0.83,2.71,1.9,1.8,7.8,74.1
"Zambia","Africa",61.9,106.2,521.085,2.41,21.8,7.69,11.86,7.1,7,6.3,48.5
"Kyrgyz Republic","Asia",38.8,45.2,223.718,5.84,24.9,0.04,4.99,3.5,3.5,10,68.2
"Zimbabwe","Africa",51.9,95.5,687.993,1.89,23.3,12.86,11.88,11,11.2,6.5,44.6
"China","Asia",23.4,28.8,105.496,2.89,22.6,0.1,1288.4,5.3,4.7,6.7,72.4
"Nepal","Asia",29.2,35.5,154.604,0.24,22.4,0.17,27.02,15.7,16.1,4.7,69.5
"Chad","Africa",93.9,170.4,407.207,0.42,21.2,1.04,9.73,1.7,1.6,1.4,48.3
"Afghanistan","Asia",55.2,73.6,231.978,0.01,23.2,0.03,33.37,17.5,17.5,3.5,63
"Cuba","Central America and Caribbean",6.8,8.5,109.7575,4.05,24.6,0.12,11.16,3.6,3.4,9.7,76.9
"Tanzania","Africa",41.9,59.9,255.4665,7.43,23.1,2.12,49.96,6.8,6.6,5.6,62.3
"Ecuador","South America",14.3,16.6,127.577,3.78,26.9,0.16,15.71,1.3,1.1,8.3,75.7
"Djibouti","Africa",60.9,74.4,265.328,0.39,23.9,0.39,0.85,5.6,5.5,4,60.7
"Slovenia","European Union",3.9,4.7,117.617,11.55,25.6,0.03,2,2,2.1,11.5,76.9
"Grenada","Central America and Caribbean",12.5,14.7,168.877,8.68,25.8,0.4,0.1,4,4,7.7,73.1
"Congo, Dem. Rep.","Africa",73,95.9,260.0235,4.47,21.9,0.35,76.24,9.5,9.3,6.4,59.3
"Cuba","Central America and Caribbean",6.5,8.2,108.1925,4.1,24.7,0.13,11.2,3.5,3.3,9.5,77.1
"Maldives","Asia",9.7,11.3,72.3455,1.16,25,0.17,0.42,13.7,13.8,5.7,77
"Cote d'Ivoire","Africa",87.5,129.5,453.5475,0.85,23,2.65,17.97,7.3,7.3,3.6,49.8
"Nigeria","Africa",106.8,177.3,408.9835,11.17,22.4,1.29,125.39,14.1,14.1,5.2,46.5
"Nicaragua","Central America and Caribbean",22,26.1,166.1845,3.59,26.5,0.12,5.67,1.9,1.8,5.8,71.9
"Grenada","Central America and Caribbean",12.5,14.6,163.5385,9.26,26,0.4,0.1,3.9,3.9,7.9,73.1
"Iraq","Middle East",31.1,38.1,187.6105,0.15,27.7,0.13,27.91,5.4,5.1,6.1,68.1
"Myanmar","Asia",54.1,71.8,219.9305,0.75,21.8,0.42,49.62,13.2,13.5,3.8,62.3
"Panama","Central America and Caribbean",18.5,21.7,125.1955,5.46,26.2,0.4,3.45,2.1,2,9.2,76.2
"Bahrain","Middle East",7,8.2,70.3255,1.66,25,0.05,1.28,6.1,6,8.6,76.2
"Djibouti","Africa",78.2,98.6,321.3015,1.33,23.6,2.19,0.73,6.3,6.1,3.3,57.1
"Japan","Asia",2.8,3.9,68.9285,7.69,22.6,0.17,127.76,1.7,1.4,11.1,82
"Namibia","Africa",42.7,74.4,496.836,1.89,23.3,9.29,1.91,13.7,13.7,5.9,50.6
"Cabo Verde","Africa",28.4,34.4,149.3995,3.86,23.4,0.39,0.44,9.4,9.3,3.7,69.1
"Uganda","Africa",74.7,123.5,485.3535,11.37,21.4,4.15,25.98,6.7,6.7,4.3,49.4
"Kazakhstan","Asia",23.8,26.8,267.527,3.99,25.9,0.09,15.48,2.4,2.5,11.6,66.3
"St. Lucia","Central America and Caribbean",18.1,20.4,141.425,9.62,29.1,0.4,0.18,4.3,4.3,8.4,75.1
"Cabo Verde","Africa",31.1,38.1,157.104,3.49,23.3,0.39,0.43,9.6,9.5,3.5,68.6
"Germany","European Union",3.6,4.4,79.5175,11.37,26.2,0.08,82.11,1.1,1.1,13.7,79.7
"Belarus","Rest of Europe",3.1,4.1,163.872,9.79,26.6,0.22,9.46,1.9,2,12.2,73.6
"Honduras","Central America and Caribbean",19.8,23.3,153.912,2.69,26.1,0.08,8.32,2.3,2.2,5.4,73.3
"Senegal","Africa",53.2,91.8,237.7735,0.34,22.5,0.49,11.09,11.4,11.3,2.4,60.6
"Cameroon","Africa",74.6,121,371.415,5.22,23.8,2.43,18.73,6.6,6.6,5.2,53.7
"Philippines","Asia",24.2,30.9,204.619,4.96,22.9,0.06,97.21,1,9.7,9.1,70.1
"Maldives","Asia",12.8,14.9,77.1955,1.41,24.4,0.17,0.35,14.1,14.2,4.7,75.5
"Nicaragua","Central America and Caribbean",23.9,28.5,173.308,3.64,26.4,0.13,5.51,2,1.9,5.6,71.4
"Mongolia","Asia",38.9,49.1,260.269,1.67,24.6,0.02,2.47,2.4,2.5,8.4,64.2
"Iraq","Middle East",34.9,43.5,165.8675,0.19,27.1,0.13,24.21,5.6,5.3,5.2,69
"Haiti","Central America and Caribbean",57.6,77.4,257.386,2.36,24.7,0.83,10.1,4,4,4.8,60.9
"Uruguay","South America",8.3,9.7,107.92,6.42,27,0.26,3.39,1.5,1.4,8.5,77.1
"Azerbaijan","Asia",39.1,45.5,141.6765,0.95,26.1,0.15,8.58,2.8,2.9,10.2,69.8
"Pakistan","Asia",80.9,102.4,185.0715,0.014,22.7,0.13,149.55,21.8,22.2,3.8,63.3
"Singapore","Asia",3,3.9,80.151,2.02,23.4,0.14,4.03,2.1,2,8.9,78
"Angola","Africa",57.7,88.1,242.9655,6.53,23.2,0.89,27.88,8.3,8.2,5,59.4
"Azerbaijan","Asia",47,55.6,155.0385,0.63,25.9,0.2,8.31,3,3,10.6,68.2
"Solomon Islands","Oceania",19.9,23.4,151.628,0.95,26.1,0.17,0.59,1.1,1.2,5.3,71.9
"Ukraine","Rest of Europe",8.1,9.5,202.8,6.04,26.5,0.23,45.15,2.3,2.4,11.3,71.2
"Senegal","Africa",50.6,85.2,233.387,0.37,22.5,0.42,11.38,11.2,11.1,2.4,61.4
"Bhutan","Asia",31,38,220.149,0.32,23.5,0.14,0.7,16.1,16.7,2.5,69.3
"Azerbaijan","Asia",28.5,32.5,132.0885,0.52,26.6,0.07,9.3,2.8,2.8,10.7,71.5
"Serbia","Rest of Europe",9.1,10.5,147.6935,9.1,25.4,0.01,7.48,2.7,2.7,9.9,72.4
"Niger","Africa",64.8,130.3,270.291,0.1,21.5,0.12,15.84,11,1.8,1.4,56.6
"Haiti","Central America and Caribbean",102.6,203.6,262.206,2.28,24.6,0.9,9.95,4,4,4.7,60.5
"Slovak Republic","European Union",6.6,7.9,136.22,10.89,25.8,0.01,5.37,1.4,1.5,10.9,74.2
"Bahamas, The","Central America and Caribbean",14.1,16.5,174.6025,9.92,27.3,0.57,0.34,2.5,2.5,10.9,72
"Finland","European Union",3.1,3.7,99.9665,9.95,25.9,0.08,5.25,0.9,0.8,12,78.8
"Denmark","European Union",4.3,5.2,95.0035,11.26,25.1,0.04,5.4,1.2,1,12.8,77.5
"Tunisia","Africa",15.8,18.4,98.3545,1.26,25.9,0.04,10.64,6.3,6.3,6.7,75
"Thailand","Asia",13.4,15.6,168.9115,6.12,23.5,0.3,66.18,8.6,8.8,7.1,72.9
"France","European Union",3.1,4.3,86.8955,12.66,25,0.1,64.71,0.6,0.6,10.8,81.4
"Samoa","Oceania",16.2,18.9,117.105,1.84,31.8,0.17,0.19,0.2,0.1,10.3,72.4
"Nepal","Asia",45.9,59.4,203.6355,0.22,21.2,0.17,25.74,17.6,18.2,2.8,65.3
"Panama","Central America and Caribbean",15.5,18.1,117.765,6.21,26.7,0.4,3.84,1.9,1.9,9.7,77.4
"Ireland","European Union",3.5,4.1,68.994,11.49,27.2,0.07,4.58,0.3,0.2,10.9,80.7
"Yemen, Rep.","Middle East",65.8,90.3,251.422,0.08,22.4,0.02,17.92,14,14,1.3,61.2
"Germany","European Union",3.7,4.5,80.746,11.51,26.2,0.08,82.27,1.1,1.1,13.7,79.5
"Tajikistan","Asia",36.9,42.7,143.711,0.68,25.2,0.23,7.53,3.7,3.8,10.9,68.7
"Nicaragua","Central America and Caribbean",24.9,29.9,177.622,3.65,26.3,0.13,5.44,2,1.9,5.5,71.2
"Costa Rica","Central America and Caribbean",7.7,9.1,85.6715,3.19,27.3,0.19,4.85,1.7,1.7,8.8,79.6
"Chad","Africa",96.8,177.1,413.041,0.4,21.1,1.21,9.02,11.1,11,1.4,47.9
"Libya","Africa",14.9,19.4,136.8525,0.01,27.7,0.09,6.25,5.6,5.4,7.3,72
"Norway","Rest of Europe",3.4,4.2,74.4275,6.22,26,0.02,4.59,0.8,0.7,12.7,79.8
"France","European Union",3.1,4.2,82.572,12.35,25.1,0.1,65.34,0.6,0.6,10.9,82.1
"Honduras","Central America and Caribbean",22.4,26.7,158.902,2.94,25.7,0.11,7.81,2.4,2.3,5,72.5
"Iraq","Middle East",31.8,39.1,183.716,0.035,27.6,0.13,27.45,5.4,5.1,5.9,68.2
