"Country","Region","Life_expectancy","Life-Expectancy (High/Low/Avg)"
"Congo, Rep.","Africa",62,"Average"
"Seychelles","Africa",74.3,"High"
"Senegal","Africa",58.7,"Average"
"Guinea-Bissau","Africa",55.1,"Average"
"Zambia","Africa",52.6,"Average"
"Gambia, The","Africa",57.2,"Average"
"Burundi","Africa",60.1,"Average"
"Malawi","Africa",59.9,"Average"
"Eritrea","Africa",55.3,"Average"
"Nigeria","Africa",50.4,"Average"
"Mozambique","Africa",57.2,"Average"
"Sierra Leone","Africa",52.9,"Average"
"Burkina Faso","Africa",58.9,"Average"
"Mauritius","Africa",72.6,"High"
"Congo, Rep.","Africa",62.6,"Average"
"Guinea","Africa",56.9,"Average"
"Rwanda","Africa",62.1,"Average"
"Seychelles","Africa",73.3,"High"
"Burkina Faso","Africa",57.1,"Average"
"Mali","Africa",54.2,"Average"
"Eswatini","Africa",47.5,"Average"
"Mozambique","Africa",54.9,"Average"
"Libya","Africa",71.7,"High"
"Eswatini","Africa",53.6,"Average"
"Liberia","Africa",52.8,"Average"
"Guinea-Bissau","Africa",56.1,"Average"
"Cote d'Ivoire","Africa",53.6,"Average"
"Togo","Africa",53.7,"Average"
"Djibouti","Africa",57.7,"Average"
"Zimbabwe","Africa",46.5,"Average"
"Liberia","Africa",59,"Average"
"Tanzania","Africa",63.1,"Average"
"Gabon","Africa",64.9,"Average"
"Mozambique","Africa",49.6,"Average"
"Senegal","Africa",57.8,"Average"
"Tunisia","Africa",73.6,"High"
"Zimbabwe","Africa",44,"Average"
"Nigeria","Africa",53.1,"Average"
"Equatorial Guinea","Africa",54.8,"Average"
"Eswatini","Africa",42.7,"Average"
"Egypt, Arab Rep.","Africa",69.4,"Average"
"Zambia","Africa",59.7,"Average"
"Kenya","Africa",52.4,"Average"
"Rwanda","Africa",65.4,"Average"
"Sierra Leone","Africa",47.5,"Average"
"Kenya","Africa",56.1,"Average"
"Central African Republic","Africa",44.7,"Average"
"Gabon","Africa",57.8,"Average"
"Mauritania","Africa",61,"Average"
"Algeria","Africa",75.4,"High"
"Tanzania","Africa",59.5,"Average"
"Tanzania","Africa",54.3,"Average"
"Comoros","Africa",62.6,"Average"
"Togo","Africa",59.6,"Average"
"Liberia","Africa",61.2,"Average"
"Gambia, The","Africa",56.8,"Average"
"Somalia","Africa",53.7,"Average"
"Guinea","Africa",54.1,"Average"
"Guinea-Bissau","Africa",53.1,"Average"
"Lesotho","Africa",49.9,"Average"
"Comoros","Africa",63.5,"Average"
"Mauritania","Africa",61.6,"Average"
"Burundi","Africa",55.7,"Average"
"Libya","Africa",72.2,"High"
"Algeria","Africa",75.2,"High"
"Burkina Faso","Africa",56.4,"Average"
"Guinea-Bissau","Africa",50.7,"Average"
"Malawi","Africa",55.6,"Average"
"Congo, Rep.","Africa",53.1,"Average"
"Angola","Africa",57.2,"Average"
"South Africa","Africa",60.1,"Average"
"Seychelles","Africa",72.1,"High"
"Gambia, The","Africa",59,"Average"
"Libya","Africa",71.2,"High"
"Congo, Dem. Rep.","Africa",54.4,"Average"
"Cabo Verde","Africa",71.9,"High"
"Djibouti","Africa",58.3,"Average"
"Kenya","Africa",63.4,"Average"
"Uganda","Africa",61.4,"Average"
"South Africa","Africa",58.9,"Average"
"Madagascar","Africa",60.8,"Average"
"Gambia, The","Africa",59.6,"Average"
"Kenya","Africa",58.8,"Average"
"Togo","Africa",54.2,"Average"
"Djibouti","Africa",62.2,"Average"
"Eswatini","Africa",51.7,"Average"
"Eritrea","Africa",59.5,"Average"
"Gabon","Africa",64.3,"Average"
"Morocco","Africa",72.4,"High"
"Congo, Rep.","Africa",61.4,"Average"
"Zimbabwe","Africa",58.4,"Average"
"Cote d'Ivoire","Africa",50.6,"Average"
"Cameroon","Africa",56.6,"Average"
"Somalia","Africa",51.8,"Average"
"Seychelles","Africa",73.2,"High"
"Congo, Dem. Rep.","Africa",52.9,"Average"
"Tunisia","Africa",75.7,"High"
"Madagascar","Africa",62.9,"Average"
"Madagascar","Africa",63.4,"Average"
"Somalia","Africa",55.1,"Average"
"Eritrea","Africa",64.2,"Average"
"Eritrea","Africa",61,"Average"
"Benin","Africa",56.9,"Average"
"Ghana","Africa",62.8,"Average"
"Mauritius","Africa",72,"High"
"Malawi","Africa",57.2,"Average"
"Mozambique","Africa",50.6,"Average"
"Burkina Faso","Africa",59.5,"Average"
"Botswana","Africa",50.2,"Average"
"Cameroon","Africa",55.6,"Average"
"Gabon","Africa",58.2,"Average"
"Guinea-Bissau","Africa",53.6,"Average"
"Madagascar","Africa",61.2,"Average"
"Equatorial Guinea","Africa",56.6,"Average"
"Comoros","Africa",61.5,"Average"
"Malawi","Africa",50.6,"Average"
"Central African Republic","Africa",49.4,"Average"
"Morocco","Africa",73,"High"
"Ghana","Africa",57.4,"Average"
"Malawi","Africa",46.8,"Average"
"Somalia","Africa",51.2,"Average"
"Cabo Verde","Africa",70.8,"High"
"Guinea-Bissau","Africa",52.7,"Average"
"Morocco","Africa",71.1,"High"
"Eswatini","Africa",42.7,"Average"
"Burundi","Africa",54.2,"Average"
"Congo, Rep.","Africa",52.1,"Average"
"Guinea","Africa",57.9,"Average"
"Equatorial Guinea","Africa",57.4,"Average"
"Tanzania","Africa",57.7,"Average"
"Seychelles","Africa",74.3,"High"
"Angola","Africa",48.4,"Average"
"Mali","Africa",56.1,"Average"
"Madagascar","Africa",62.5,"Average"
"Eritrea","Africa",60.2,"Average"
"Togo","Africa",55.6,"Average"
"Senegal","Africa",63.6,"Average"
"Burundi","Africa",57.2,"Average"
"Botswana","Africa",63.5,"Average"
"Nigeria","Africa",49.9,"Average"
"Zimbabwe","Africa",56.9,"Average"
"Mauritius","Africa",74.2,"High"
"Morocco","Africa",75.7,"High"
"Comoros","Africa",60.4,"Average"
"Namibia","Africa",55.2,"Average"
"Lesotho","Africa",42.9,"Average"
"Senegal","Africa",66.7,"Average"
"Egypt, Arab Rep.","Africa",68.6,"Average"
"Tanzania","Africa",52.9,"Average"
"Eritrea","Africa",56.5,"Average"
"Sierra Leone","Africa",49.4,"Average"
"Eswatini","Africa",44.4,"Average"
"Egypt, Arab Rep.","Africa",70.2,"High"
"Mozambique","Africa",53.9,"Average"
"Zambia","Africa",46.3,"Average"
"Togo","Africa",55.1,"Average"
"Zambia","Africa",55.7,"Average"
"Benin","Africa",56.4,"Average"
"Congo, Dem. Rep.","Africa",50.7,"Average"
"Morocco","Africa",75.5,"High"
"Libya","Africa",71.9,"High"
"South Africa","Africa",62,"Average"
"Nigeria","Africa",47.7,"Average"
"Guinea","Africa",51.3,"Average"
"Mauritania","Africa",62.8,"Average"
"Central African Republic","Africa",50.1,"Average"
"Eswatini","Africa",42.5,"Average"
"Sierra Leone","Africa",52.4,"Average"
"Liberia","Africa",59.6,"Average"
"Ghana","Africa",61,"Average"
"Algeria","Africa",73.1,"High"
"Cote d'Ivoire","Africa",49.6,"Average"
"Tanzania","Africa",60.5,"Average"
"Gambia, The","Africa",56,"Average"
"Namibia","Africa",58.1,"Average"
"Cabo Verde","Africa",70.9,"High"
"Madagascar","Africa",59.7,"Average"
"Burundi","Africa",49.9,"Average"
"Morocco","Africa",68.7,"Average"
"Libya","Africa",72.2,"High"
"Congo, Rep.","Africa",63.1,"Average"
"Zambia","Africa",49.8,"Average"
"Namibia","Africa",52.6,"Average"
"Cameroon","Africa",51,"Average"
"Egypt, Arab Rep.","Africa",69.8,"Average"
"Congo, Dem. Rep.","Africa",52.1,"Average"
"Rwanda","Africa",51,"Average"
"Guinea","Africa",57.4,"Average"
"Namibia","Africa",62.1,"Average"
"Zambia","Africa",45.4,"Average"
"Mauritius","Africa",71.8,"High"
"South Africa","Africa",55.1,"Average"
"Burundi","Africa",54.9,"Average"
"Ethiopia","Africa",55.2,"Average"
"Cote d'Ivoire","Africa",51.1,"Average"
"Senegal","Africa",66.4,"Average"
"Tunisia","Africa",74.9,"High"
"Uganda","Africa",56.1,"Average"
"Gambia, The","Africa",57.6,"Average"
"South Africa","Africa",57.7,"Average"
"Lesotho","Africa",42.6,"Average"
"South Africa","Africa",54.5,"Average"
"Lesotho","Africa",45.1,"Average"
"Egypt, Arab Rep.","Africa",70.7,"High"
"Ghana","Africa",57,"Average"
"Uganda","Africa",46.2,"Average"
"Sierra Leone","Africa",39.4,"Low"
"Benin","Africa",57.4,"Average"
"Madagascar","Africa",60.3,"Average"
"Cote d'Ivoire","Africa",51.7,"Average"
"Ethiopia","Africa",60.6,"Average"
"Cabo Verde","Africa",71.4,"High"
"Tanzania","Africa",52.1,"Average"
"Botswana","Africa",50.3,"Average"
"Mali","Africa",57,"Average"
"Niger","Africa",60.1,"Average"
"Togo","Africa",56.8,"Average"
"Ethiopia","Africa",62.5,"Average"
"Cote d'Ivoire","Africa",54.9,"Average"
"Mali","Africa",49.5,"Average"
"Niger","Africa",55,"Average"
"Chad","Africa",50.3,"Average"
"Mauritius","Africa",73.9,"High"
"Eritrea","Africa",57.2,"Average"
"Zimbabwe","Africa",59.5,"Average"
"Lesotho","Africa",46.2,"Average"
"Nigeria","Africa",52.7,"Average"
"Zimbabwe","Africa",55,"Average"
"Ethiopia","Africa",54.2,"Average"
"Sierra Leone","Africa",51.7,"Average"
"Kenya","Africa",64.8,"Average"
"Cameroon","Africa",54.2,"Average"
"Gambia, The","Africa",57.9,"Average"
"Djibouti","Africa",60.1,"Average"
"Eswatini","Africa",45.8,"Average"
"Mozambique","Africa",49.3,"Average"
"Chad","Africa",47.7,"Average"
"Gabon","Africa",57.9,"Average"
"Botswana","Africa",52.1,"Average"
"Burkina Faso","Africa",53.3,"Average"
"Lesotho","Africa",48.7,"Average"
"Morocco","Africa",74,"High"
"Niger","Africa",55.8,"Average"
"Botswana","Africa",50.6,"Average"
"Eritrea","Africa",55.9,"Average"
"Malawi","Africa",61,"Average"
"Nigeria","Africa",52.2,"Average"
"Zambia","Africa",58.5,"Average"
"Ethiopia","Africa",58.5,"Average"
"Cameroon","Africa",56.1,"Average"
"Algeria","Africa",72.1,"High"
"Madagascar","Africa",58.5,"Average"
"Egypt, Arab Rep.","Africa",70.3,"High"
"Mauritania","Africa",63.9,"Average"
"Guinea-Bissau","Africa",54.1,"Average"
"Mauritania","Africa",62.5,"Average"
"Kenya","Africa",53.5,"Average"
"Togo","Africa",54.6,"Average"
"Cameroon","Africa",52.3,"Average"
"Mali","Africa",50.4,"Average"
"Kenya","Africa",61,"Average"
"Algeria","Africa",73.5,"High"
"Cameroon","Africa",51.9,"Average"
"Gabon","Africa",57.8,"Average"
"Malawi","Africa",45.2,"Average"
"Guinea","Africa",55.6,"Average"
"Eritrea","Africa",62.2,"Average"
"Uganda","Africa",58.1,"Average"
"Djibouti","Africa",59.1,"Average"
"Eswatini","Africa",43.4,"Average"
"Mauritius","Africa",74,"High"
"Ghana","Africa",59.7,"Average"
"Rwanda","Africa",48.6,"Average"
"Gambia, The","Africa",58.7,"Average"
"Botswana","Africa",61.9,"Average"
"Eritrea","Africa",63.7,"Average"
"Zambia","Africa",61.7,"Average"
"Madagascar","Africa",59.1,"Average"
"Mauritius","Africa",71.7,"High"
"Mauritania","Africa",63.4,"Average"
"Guinea","Africa",51.2,"Average"
"Morocco","Africa",74.7,"High"
"Benin","Africa",55.4,"Average"
"Lesotho","Africa",46.2,"Average"
"Seychelles","Africa",71,"High"
"Chad","Africa",51.9,"Average"
"Botswana","Africa",65,"Average"
"Burkina Faso","Africa",50.5,"Average"
"Botswana","Africa",66.3,"Average"
"Cabo Verde","Africa",69.6,"Average"
"Chad","Africa",48.9,"Average"
"Liberia","Africa",60.7,"Average"
"Liberia","Africa",58.2,"Average"
"Algeria","Africa",72.6,"High"
"Cameroon","Africa",51.2,"Average"
"Egypt, Arab Rep.","Africa",70,"High"
"Angola","Africa",58.1,"Average"
"Benin","Africa",60.3,"Average"
"Ethiopia","Africa",64.5,"Average"
"Mali","Africa",55.3,"Average"
"South Africa","Africa",56.5,"Average"
"Comoros","Africa",60.1,"Average"
"Central African Republic","Africa",48.6,"Average"
"South Africa","Africa",53.4,"Average"
"Tunisia","Africa",73.4,"High"
"Central African Republic","Africa",44.2,"Average"
"Cote d'Ivoire","Africa",49.6,"Average"
"Lesotho","Africa",47.7,"Average"
"Senegal","Africa",59.3,"Average"
"Lesotho","Africa",44.9,"Average"
"Sierra Leone","Africa",40.4,"Average"
"Somalia","Africa",54.7,"Average"
"Seychelles","Africa",73.1,"High"
"Algeria","Africa",73.9,"High"
"Niger","Africa",60.6,"Average"
"Egypt, Arab Rep.","Africa",69.1,"Average"
"Libya","Africa",71.9,"High"
"Guinea-Bissau","Africa",50.4,"Average"
"Uganda","Africa",52.8,"Average"
"Togo","Africa",58.7,"Average"
"Niger","Africa",52.7,"Average"
"Djibouti","Africa",61.4,"Average"
"Tanzania","Africa",61.4,"Average"
"Benin","Africa",59,"Average"
"Cabo Verde","Africa",70.4,"High"
"Kenya","Africa",62.7,"Average"
"Angola","Africa",58.8,"Average"
"Sierra Leone","Africa",44.5,"Average"
"Somalia","Africa",55.9,"Average"
"Algeria","Africa",75.9,"High"
"Niger","Africa",52,"Average"
"Eritrea","Africa",62.7,"Average"
"Malawi","Africa",52.2,"Average"
"Cote d'Ivoire","Africa",49.5,"Average"
"Ghana","Africa",62.4,"Average"
"Congo, Dem. Rep.","Africa",51.4,"Average"
"Kenya","Africa",54.7,"Average"
"Ghana","Africa",60.2,"Average"
"Mauritius","Africa",72.3,"High"
"Comoros","Africa",62.9,"Average"
"Burkina Faso","Africa",58.4,"Average"
"Mauritius","Africa",72.4,"High"
"Sierra Leone","Africa",41.4,"Average"
"Benin","Africa",59.8,"Average"
"Somalia","Africa",52,"Average"
"Ghana","Africa",61.7,"Average"
"Gambia, The","Africa",59.9,"Average"
"Libya","Africa",72,"High"
"Mali","Africa",55.7,"Average"
"Ethiopia","Africa",57.3,"Average"
"Mozambique","Africa",50.4,"Average"
"Guinea","Africa",56.3,"Average"
"Tunisia","Africa",75.6,"High"
"Guinea","Africa",59,"Average"
"Eswatini","Africa",46.6,"Average"
"Ghana","Africa",59.2,"Average"
"Angola","Africa",46.5,"Average"
"Congo, Rep.","Africa",57.5,"Average"
"Liberia","Africa",62.3,"Average"
"Angola","Africa",56.3,"Average"
"Cote d'Ivoire","Africa",52.3,"Average"
"Eswatini","Africa",44.2,"Average"
"Rwanda","Africa",67.5,"Average"
"Tanzania","Africa",53.6,"Average"
"Botswana","Africa",60.2,"Average"
"Somalia","Africa",55.5,"Average"
"Kenya","Africa",51.1,"Average"
"Niger","Africa",58.1,"Average"
"Ethiopia","Africa",52.6,"Average"
"Comoros","Africa",59.6,"Average"
"Eritrea","Africa",57.9,"Average"
"Chad","Africa",49.3,"Average"
"Egypt, Arab Rep.","Africa",69.6,"Average"
"Morocco","Africa",73.5,"High"
"Burkina Faso","Africa",54.8,"Average"
"Mauritius","Africa",72.6,"High"
"Mauritius","Africa",74.4,"High"
"Comoros","Africa",59.5,"Average"
"Mauritius","Africa",73.3,"High"
"Libya","Africa",70.9,"High"
"Cabo Verde","Africa",71.2,"High"
"Namibia","Africa",51.6,"Average"
"Kenya","Africa",51.6,"Average"
"Mozambique","Africa",53,"Average"
"Chad","Africa",49.8,"Average"
"Equatorial Guinea","Africa",53.3,"Average"
"Tanzania","Africa",55.9,"Average"
"Chad","Africa",48.1,"Average"
"South Africa","Africa",56,"Average"
"Senegal","Africa",62.9,"Average"
"Algeria","Africa",71.6,"High"
"Mozambique","Africa",48.9,"Average"
"Central African Republic","Africa",45.6,"Average"
"Central African Republic","Africa",46.7,"Average"
"Malawi","Africa",53.9,"Average"
"Botswana","Africa",55,"Average"
"Benin","Africa",56,"Average"
"Congo, Dem. Rep.","Africa",56.4,"Average"
"Cote d'Ivoire","Africa",49.5,"Average"
"Comoros","Africa",59.9,"Average"
"Benin","Africa",55.7,"Average"
"Lesotho","Africa",44.1,"Average"
"Gabon","Africa",59.2,"Average"
"Mali","Africa",54.8,"Average"
"Senegal","Africa",58.2,"Average"
"Libya","Africa",72.1,"High"
"Togo","Africa",58.1,"Average"
"Cabo Verde","Africa",70.6,"High"
"Burundi","Africa",59.1,"Average"
"Burundi","Africa",50.8,"Average"
"Seychelles","Africa",73.2,"High"
"Kenya","Africa",64.1,"Average"
"Equatorial Guinea","Africa",55.1,"Average"
"Eritrea","Africa",61.6,"Average"
"Chad","Africa",51.4,"Average"
"Somalia","Africa",52.3,"Average"
"Rwanda","Africa",55.3,"Average"
"Congo, Rep.","Africa",58.5,"Average"
"Central African Republic","Africa",44.2,"Average"
"Sierra Leone","Africa",48.5,"Average"
"Guinea-Bissau","Africa",55.6,"Average"
"Mauritania","Africa",61.8,"Average"
"Angola","Africa",50.2,"Average"
"Rwanda","Africa",66.9,"Average"
"Congo, Dem. Rep.","Africa",55.1,"Average"
"Zimbabwe","Africa",43.9,"Average"
"Liberia","Africa",54.4,"Average"
"Burkina Faso","Africa",57.8,"Average"
"Liberia","Africa",53.6,"Average"
"Gabon","Africa",59.9,"Average"
"Uganda","Africa",55,"Average"
"Central African Republic","Africa",50.9,"Average"
"Uganda","Africa",53.9,"Average"
"Senegal","Africa",64.9,"Average"
"Lesotho","Africa",47.4,"Average"
"Liberia","Africa",52.2,"Average"
"Cote d'Ivoire","Africa",54.3,"Average"
"Togo","Africa",53.6,"Average"
"Mali","Africa",48.8,"Average"
"Mali","Africa",51.2,"Average"
"Malawi","Africa",58.6,"Average"
"Algeria","Africa",74.3,"High"
"South Africa","Africa",53.7,"Average"
"South Africa","Africa",61.1,"Average"
"Libya","Africa",71.5,"High"
"Uganda","Africa",60.7,"Average"
"Cabo Verde","Africa",70.2,"High"
"Liberia","Africa",61.7,"Average"
"Egypt, Arab Rep.","Africa",71.3,"High"
"Zambia","Africa",44,"Average"
"Zambia","Africa",47.4,"Average"
"Mauritius","Africa",72.9,"High"
"Cote d'Ivoire","Africa",53,"Average"
"Lesotho","Africa",42.7,"Average"
"Ghana","Africa",57.8,"Average"
"Ethiopia","Africa",64,"Average"
"Tunisia","Africa",74.4,"High"
"Liberia","Africa",55.4,"Average"
"Nigeria","Africa",48.8,"Average"
"Namibia","Africa",59.4,"Average"
"Cameroon","Africa",51.5,"Average"
"Guinea","Africa",51.9,"Average"
"Seychelles","Africa",73.2,"High"
"Comoros","Africa",62.2,"Average"
"Equatorial Guinea","Africa",57,"Average"
"Gambia, The","Africa",60.2,"Average"
"Egypt, Arab Rep.","Africa",71.1,"High"
"Libya","Africa",72.1,"High"
"Congo, Rep.","Africa",56.6,"Average"
"Niger","Africa",57.3,"Average"
"Ghana","Africa",58.2,"Average"
"Libya","Africa",72.1,"High"
"Malawi","Africa",49.1,"Average"
"Burundi","Africa",57.9,"Average"
"Niger","Africa",54.2,"Average"
"Mauritania","Africa",62,"Average"
"South Africa","Africa",55.4,"Average"
"Gabon","Africa",63.6,"Average"
"Namibia","Africa",52.2,"Average"
"Niger","Africa",59.5,"Average"
"Sierra Leone","Africa",46.5,"Average"
"Tanzania","Africa",55.1,"Average"
"Tunisia","Africa",75.2,"High"
"Ethiopia","Africa",53.3,"Average"
"Malawi","Africa",46.1,"Average"
"Uganda","Africa",48.3,"Average"
"Cabo Verde","Africa",72.1,"High"
"Morocco","Africa",75.2,"High"
"Somalia","Africa",54.3,"Average"
"Botswana","Africa",56.7,"Average"
"Nigeria","Africa",49.4,"Average"
"Guinea-Bissau","Africa",51.9,"Average"
"Gabon","Africa",60.6,"Average"
"Niger","Africa",51.3,"Average"
"Eswatini","Africa",49.9,"Average"
"Equatorial Guinea","Africa",55.6,"Average"
"Guinea","Africa",52.5,"Average"
"Rwanda","Africa",60.6,"Average"
